orig_premise,orig_hypothesis,gold_label,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,orig_contrast_probs,pred_edit_premise_probs,pred_edit_hypo_probs,diff_premise_probs,diff_hypothesis_probs
A young couple and many others out enjoying themselves at an outdoor street event.,The young couple are looking at goods being sold by the street vendors.,contradiction,A young couple and many others out enjoying themselves at an outdoor street event where they are watching live musicians perform.,A young couple are at an outdoor street event.,2,0,1,0.4666666666666667,0.5714285714285714,34.669639587402344,47.46000671386719,0.05348697677254677,0.9541932940483093,0.9775755405426025,0.9007063172757626,0.9734762473963201
Construction workers use cables to hang from the sides of buildings.,Construction workers are brave.,entailment,Construction workers courageously use cables to hang from the sides of buildings.,Construction workers put themselves in danger.,2,1,2,0.08333333333333333,0.8,62.83515930175781,74.3185806274414,0.02966582588851452,0.9869837760925293,0.714472770690918,0.9573179502040148,-0.2117677927017212
A dark-haired man in a black uniform is speaking to a man wearing a black jacket and black helmet on a motorbike.,A man in a police uniform is talking to another man.,entailment,A dark-haired man in a black police uniform is speaking to a man wearing a black jacket and black helmet on a motorbike.,A man in a uniform is talking to another man.,2,1,1,0.04,0.08333333333333333,19.10248374938965,18.270090103149414,0.978561520576477,0.9827131032943726,0.9833295941352844,0.9747048355638981,0.97532132640481
A woman wearing a red coat stands on a wood floor in front of several paintings while two girls sit on the floor at her feet.,Woman takes a break at a museum while her children sit by her feet.,entailment,A woman wearing a coat tries to relax on a wood floor in front of several paintings while her kids sit on the floor at her feet.,Woman takes a break at a museum while her children stand by her feet.,2,2,2,0.2222222222222222,0.06666666666666667,32.829429626464844,34.15775680541992,0.0046702357940375805,0.9863380789756775,0.992895781993866,-0.008541405200958252,-0.0019837021827697754
A woman is walking her dog along a snowy ground.,A woman is trying to get her dog to go to the bathroom after it has freshly snowed.,entailment,A female is walking her dog to piss along a fresh snowy ground.,A woman is trying to get her dog to go to the bathroom after it has rained.,2,2,2,0.36363636363636365,0.10526315789473684,24.176029205322266,45.156089782714844,0.0006927796057425439,0.9956082701683044,0.9953036308288574,-0.0029516220092773438,-0.0032562613487243652
a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.,Three boys are preparing for their big game that is about to start.,entailment,a boy in a uniform is standing next to a boy in red and a boy in yellow and they are holding pro-baseball gloves singing national anthem.,The three boys are wearing identical team uniforms.,2,2,0,0.23076923076923078,0.8571428571428571,26.919418334960938,36.73043441772461,0.0005611174856312573,0.9971145391464233,0.9180434942245483,-0.0005280375480651855,0.9174823767389171
"While two students are jumping, others in a classroom are sitting or standing.",Two students disrupting class.,entailment,"While two students are jumping, others in a classroom are sitting or standing and they are very annoyed.",Some others are not jumping.,2,2,2,0.3333333333333333,1.0,67.96395874023438,97.63135528564453,0.00549687072634697,0.6767423748970032,0.49282652139663696,-0.30660486221313477,-0.490520715713501
A man alone crosscountry skis in the wilderness while wearing a huge backpack.,A man skis in the wilderness while it's snowing,entailment,A man alone crosscountry skis somewhere other than a resort.,A man skis in the wilderness.,2,2,1,0.5,0.4,55.11199951171875,69.39450073242188,0.025864293798804283,0.9830241203308105,0.987313449382782,0.009609818458557129,0.9614491555839777
A well dressed elderly woman standing in front of a bus decorated with images of purple flowers.,A grandmother is standing in front of a bus with violets decorated all over it.,entailment,A well dressed elderly grandmother standing in front of a bus decorated with images of purple flowers.,A grandmother bombs a bus with flowers.,2,2,0,0.05555555555555555,0.625,53.00102233886719,29.420303344726562,0.00576222687959671,0.8081134557723999,0.9978383183479309,-0.18248003721237183,0.9941940072458237
Two girls kissing a man with a black shirt and brown hair on the cheeks.,Two girls kiss there dad.,entailment,"Two girls kissing their father, who has a black shirt and brown hair on the cheeks.",Two girls are kissing a man with brown hair on the cheeks.,2,1,1,0.3125,1.6666666666666667,22.030115127563477,70.05715942382812,0.010679405182600021,0.9223252534866333,0.9816051125526428,0.4704572558403015,0.529737114906311
A large man is sitting in front of a fountain statue while talking on a phone.,The fountain has running water.,entailment,A large man is sitting in front of a running water fountain statue while talking on a phone.,The fountain is behind a man.,2,1,1,0.11764705882352941,0.6666666666666666,28.494720458984375,39.03886413574219,0.6794269680976868,0.8739936947822571,0.6728892922401428,0.5565163493156433,0.35541194677352905
a man puts his hands up while telling an amusing story to his friend with a beard.,The man is perplexed by the events.,entailment,a perplexed man puts his hands up while telling an amusing story to his friend with a beard.,The man is narrating the story.,2,2,1,0.05555555555555555,0.375,33.27775573730469,37.055850982666016,0.09411382675170898,0.7922047972679138,0.823937177658081,-0.06893736124038696,0.7791931629180908
A man with a tattoo on his arm staring to the side with vehicles and buildings behind him.,A man has dragon tattoos on his arm.,entailment,A man has targaryen tattoos on his arm. ,"A man has pale, bare skin.",2,0,0,0.6842105263157895,0.5555555555555556,60.44821548461914,86.19713592529297,0.0004317146958783269,0.9496955871582031,0.9975797533988953,0.9489044392248616,0.9967886054655537
"A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.",A man sits by himself at Mardi Gras.,contradiction,"A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building on Christmas, and he has a blue and white patterned piece of wheeled luggage to his right while resting both his hands on a walking stick.",A man is sitting next to luggage.,2,0,1,0.14035087719298245,0.6666666666666666,33.51410675048828,32.89925003051758,0.0011165771866217256,0.9636992812156677,0.986000120639801,0.9215391762554646,0.9848835434531793
An Asian man walks a three-wheeled pedal card fully of white bags.,An Asian man walks a three-wheeled pedal card fully of white bags and he can be seen leaving the store.,entailment,An Asian man leaves the grocery store with his three-wheeled pedal card fully of white bags.,An Asian man has a lot of white bags in his cart.,2,1,1,0.4,0.6521739130434783,80.66998291015625,36.7793083190918,0.01077578030526638,0.9685206413269043,0.9291799664497375,0.9663790334016085,0.9270383585244417
A couple about to kiss somewhere.,A couple are kissing on new years eve as the ball drops.,contradiction,A couple about to hug somewhere.,A couple are about to kiss.,2,0,1,0.14285714285714285,0.6923076923076923,48.39702606201172,106.3680191040039,0.00023609052004758269,0.9984230995178223,0.9811567068099976,0.9963960095774382,0.98092061628995
A person in an orange shirt reaching up.,A person is reaching up to grab something.,entailment,A person in an orange shirt extends their arm up for an object.,A person is reaching down to grab something.,2,1,0,0.6666666666666666,0.1111111111111111,44.373905181884766,43.624671936035156,0.0226250309497118,0.9192599058151245,0.984309196472168,0.8966348748654127,0.9838374209939502
A big dog catches a ball on his nose,A dog is playing with his owner,entailment,A big dog catches a ball on his nose thrown by his owner,A big dog is playing with a ball.,2,1,1,0.4444444444444444,0.5714285714285714,43.9213752746582,63.35435485839844,0.004234290216118097,0.8969488143920898,0.9666379690170288,0.8927145241759717,0.9624036788009107
An medical worker examines a young girl.,A health worker is evaluating a girl on her sickness.,entailment,A trained hospital employee examines a young sick girl.,A health worker is evaluating a girl who is low in age.,2,1,1,0.625,0.45454545454545453,72.0569839477539,108.16756439208984,0.996366024017334,0.6356403231620789,0.775969386100769,0.632503111846745,0.7728321747854352
A man with two small boys making a purchase from a woman.,The man with the little boys is buying a gift from the woman's store.,entailment,A man with two small boys making a purchase from a woman's store.,The man with the little boys is buying something from a women.,2,2,1,0.15384615384615385,0.375,36.35111999511719,25.294023513793945,0.12422733753919601,0.8971186280250549,0.9738086462020874,0.02518177032470703,0.8495813086628914
A woman standing in front of a large tank at an aquarium turns around to look at the photographer.,A woman wants a new facebook picture of her at the aquarium,entailment,A woman standing in front of a large tank at an aquarium turns around to look at the photographer to take a picture for her facebook profile.,A woman wants a new facebook picture of her at the baseball game.,2,2,2,0.4,0.25,42.89353561401367,33.984561920166016,0.0016763840103521943,0.9495055675506592,0.9058797955513,-0.048745930194854736,-0.09237170219421387
A woman standing in front of a wall holding a can of Bud Light with her shirt tied into a semi-halter.,The woman who is shown lives in the South.,contradiction,A boy standing in front of a wall holding a can of Blue Moon with his shirt tied into a semi-halter.,A woman is standing in front of the wall.,2,0,1,0.16666666666666666,0.7,30.754261016845703,63.6529541015625,0.0008440731326118112,0.9964424967765808,0.9920303821563721,0.9905858081765473,0.9911863090237603
A little boy with an orange backpack walks under a tree through the woods.,A boy walks to school through the woods.,entailment,A little boy with an orange backpack walks under a tree through the woods to school.,A boy walks on the sidewalks.,2,1,0,0.13333333333333333,0.4444444444444444,37.84049987792969,24.230491638183594,0.000968152133282274,0.9822255373001099,0.9991251826286316,0.9812573851668276,0.9987384141422808
A group of people are gathered on a sidewalk in front of a store nearby a littered street.,A group of people are considering whether to shop at the store.,entailment,A group of people are gathered on a sidewalk in front of a store nearby a littered street looking to buy food.,A group of people are near a littered store.,2,2,1,0.21052631578947367,0.46153846153846156,40.614139556884766,34.92402648925781,0.0008861175738275051,0.9799854755401611,0.976040244102478,-0.017730116844177246,0.9751541265286505
"A man with a blue, collared shirt sits in front of another man.",a man is looking at his friend,entailment,"A man with a blue, collared shirt sits in front of his friend, watching him.",a man is sitting near another man,2,1,1,0.3333333333333333,0.5714285714285714,28.350996017456055,30.73603057861328,0.03846310079097748,0.963088870048523,0.9681209325790405,0.9246257692575455,0.929657831788063
"Four men in safety gear, one holding a camera, are standing on a platform.",There has been an accident,entailment,"Four men in safety gear, one holding a camera, are standing on a platform next to a car crash.",There is a camera.,2,1,1,0.29411764705882354,0.8,45.056663513183594,36.06770706176758,0.03830088675022125,0.9220507144927979,0.9972831010818481,0.8837498277425766,0.9589822143316269
Two men climbing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.,contradiction,Two men climbing on a metal scaffold.,Two men are climbing.,2,0,1,0.125,0.6666666666666666,67.06416320800781,31.79880714416504,0.00016230334585998207,0.9559435248374939,0.9919010996818542,0.954696586355567,0.9917387963359943
A group of children in costumes are on a stage with red curtains.,a group of children are performing a play,entailment,A group of children in costumes act in a shakespeare drama on a stage with red curtains.,a group of adults are performing a play,2,1,0,0.35714285714285715,0.125,96.93779754638672,95.25914764404297,0.0038876759354025126,0.6309544444084167,0.9997944235801697,0.6270667684730142,0.9994378639676142
A red truck is parked next to a burning blue building while a man in a green vest runs toward it.,The burning blue building will turn to dust after an hour.,contradiction,A red truck is parked next to a blue building while a man in a green vest walks toward it.,The burning blue building has people running towards it.,2,0,1,0.09090909090909091,0.5833333333333334,26.573320388793945,33.03861618041992,0.1274024248123169,0.811593770980835,0.4616774320602417,0.6841913461685181,0.44430376775562763
A man in a blue jogging suit is running on the sidewalk in front of a painting.,The man is sweating from his run.,entailment,A man in a blue jogging suit is sweating while running on the sidewalk in front of a painting.,The man is flying.,2,2,0,0.1111111111111111,0.5,28.12772560119629,28.325315475463867,0.9763160347938538,0.6851996779441833,0.9997934699058533,-0.2911163568496704,0.999652542945114
A band performing at a local bar or club.,The band is playing rock music,entailment,A rock band performing at a bar or club.,The band is performing at a venue.,2,1,1,0.2,0.8333333333333334,32.262699127197266,43.76293182373047,0.0006207554251886904,0.8688439130783081,0.9893438816070557,0.8682231576531194,0.988723126181867
A group of people are sight seeing and taking pictures.,the group is on vacation,entailment,A group of people vacationing are sight seeing and taking pictures.,the group is sight seeing,2,1,1,0.09090909090909091,0.4,81.37203216552734,79.70103454589844,0.0003248322755098343,0.8873834609985352,0.9236274361610413,0.8859724471112713,0.9222164222737774
"A little boy with a shirt, shorts and socks on, standing on the beach.",A boy is watching the ocean.,entailment,"A little boy with a shirt, shorts and socks on, standing on the beach gazing at the Pacific surf.",A boy is watching indoor skating.,2,1,0,0.29411764705882354,0.2857142857142857,63.83681869506836,40.904537200927734,0.031615372747182846,0.9326006174087524,0.9999046325683594,0.9009852446615696,0.9995618035900407
Expert snowboard is trying a new trick.,The person is snowboarding on top of a mountain.,entailment,Expert snowboard is trying a new trick on top of a mountain.,The person is snowboarding on top of a wave.,2,1,2,0.625,0.1,58.298091888427734,30.422794342041016,0.021959098055958748,0.9099079370498657,0.5530799031257629,0.887948838993907,-0.3613278269767761
A woman lowering ballast on a boat.,The captain of the boat is preparing for rough waters.,contradiction,A woman lowering ballast on a boat to learn how it works.,The woman is lowering the ballast.,2,2,1,0.625,0.7272727272727273,58.74169158935547,65.691650390625,0.005974837578833103,0.894528865814209,0.9921911358833313,-0.06301182508468628,0.9862162983044982
A small child is riding in a red wagon.,A kid is in a wagon and someone is pulling it.,entailment,A small child is riding in a red wagon being pulled by his mom.,An elderly man rides a red wagon with a child pulling it.,2,1,0,0.5,0.6666666666666666,31.23686408996582,32.869998931884766,0.9779690504074097,0.9049700498580933,0.998719334602356,0.8835628535598516,0.9980956594226882
A group of people sitting around a table eating food.,People are at a table eating Christmas dinner.,entailment,A group of people sitting around a table eating food after church on Christmas.,People are at a table eating Christmas trees.,2,2,2,0.36363636363636365,0.1111111111111111,45.97877502441406,48.81761169433594,0.0011536459205672145,0.691653847694397,0.951797366142273,-0.3063908815383911,-0.04624736309051514
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",An old lady pushing a stroller down a busy street.,contradiction,"A young woman dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",An old lady pushing a stroller up a busy street.,2,0,2,0.08,0.09090909090909091,24.786012649536133,20.985950469970703,0.0035126451402902603,0.9987537860870361,0.5645214915275574,0.6252029538154602,-0.05841505527496338
"A woman wearing an elaborate array of feathers in her hair, a bead necklace, a medallion, and an aqua, brown, and olive-green dress and looks off to her left, smiling slightly.",A woman smiles at someone to her left,entailment,"A woman wearing an elaborate array of feathers in her hair, a bead necklace, a medallion, and an aqua, brown, and olive-green dress and looks off to her left, smiling slightly at her friend.",A woman is dressed  very colorfully.,2,1,1,0.075,0.75,57.688507080078125,37.47643280029297,0.00210428680293262,0.7801206707954407,0.9838866591453552,0.6533121913671494,0.8570781797170639
"A man wearing a checkered shirt, cream suit and tennis shoes sits on a bench.",the guy is on the bench waiting for his wife,contradiction,"A man wearing a checkered shirt, cream suit and tennis shoes sits on a bench waiting.",A woman is sitting on a bench.,2,2,0,0.058823529411764705,0.8,13.1041898727417,27.553035736083984,0.0007338110590353608,0.9976314306259155,0.9968739748001099,-0.0008957386016845703,0.996134955494199
Two cars are being driven in a car race.,A Bugatti and a Lambourgini compete in a road race.,contradiction,Two US-made cars are being driven in a car race.,Two cars compete in a race.,2,0,1,0.3,0.5454545454545454,35.423736572265625,85.73139190673828,0.0007517688791267574,0.6032595634460449,0.981253981590271,0.3215944766998291,0.9805022127111442
"A lady is helping another woman work in a silver compartment, which is most likely related to nurse-work.",Two woman are trying to finish orders from a doctor,entailment,A lady is helping another woman work. ,Two women are purchasing silver.,2,2,0,0.6363636363636364,0.8,102.42157745361328,212.73623657226562,0.0017805061070248485,0.9711779952049255,0.8688889741897583,-0.02577263116836548,0.8676200968911871
batter hits a baseball,A man in a baseball game hits a foul ball.,entailment,batter hits a foul baseball.,A man in a baseball game strikes out.,2,1,2,0.5,0.36363636363636365,267.28448486328125,80.14196014404297,0.03625356778502464,0.5192070007324219,0.9386295080184937,0.48295343294739723,-0.022041618824005127
A group of children in African clothing.,Some humans in green clothing,contradiction,"A group of children in yellow, African clothing.",The children wore  green american clothing.,2,0,0,0.25,1.2,231.48802185058594,243.77366638183594,0.014141367748379707,0.9826708436012268,0.9932743310928345,0.9685294758528471,0.9791329633444548
In this picture it appears that a man is falling off a bull while attempting to ride the animal.,the man is a farmer,entailment,In this picture it appears that a male farmer is falling off his bull while attempting to ride the animal.,The man is racing cars.,2,1,0,0.15,0.8,52.80152893066406,77.55463409423828,0.0005881371325813234,0.5565072894096375,0.9996439218521118,0.5559191522770561,0.9992766019131523
"A woman is sitting outside at a table, using a knife to cut into a sandwich.",A woman is sitting outside waiting for her friend.,contradiction,"A man is sitting outside at a table, cutting a sandwich. ",A woman is cutting a pizza.,2,0,0,0.3888888888888889,0.6,46.81788635253906,48.32544708251953,0.06465291231870651,0.9968896508216858,0.997179388999939,0.9322367385029793,0.9325264766812325
A group of children playing with props,The children are playing with machine guns.,contradiction,A group of children playing with action figures,The children are playing with real swords.,2,0,2,0.2857142857142857,0.25,80.55785369873047,70.93517303466797,0.0012810592306777835,0.9980364441871643,0.9710044860839844,0.9939166731201112,-0.02359473705291748
An old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background.,An ugly old man in a pink polo looks through a telescope with a small child standing next to him,contradiction,A handsome old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background.,An old man in a pink polo looks through a telescope with a small child standing next to him,2,0,1,0.06896551724137931,0.05,8.459412574768066,11.845196723937988,0.00021580637258011848,0.9969059824943542,0.9839897155761719,0.9963894419488497,0.9837739092035918
A woman in a blue apron is holding a container of ice cream.,A woman is standing in a kitchen.,entailment,A woman in a apron is holding a container of ice cream.,A woman is in an apron.,2,2,1,0.07142857142857142,0.375,29.804161071777344,41.27808380126953,0.24136556684970856,0.6709312796592712,0.9915008544921875,-0.08614695072174072,0.7501352876424789
"A woman is sitting in a chair, while a man is going through the sport utility vehicle.",a girl is sitting waiting to leave for vacation,contradiction,"An older woman is sitting in a chair, while a man is going through the sport utility vehicle to go to work.",The woman  is sitting in a chair.,2,0,1,0.3157894736842105,0.8888888888888888,43.179603576660156,62.603981018066406,0.0019905180670320988,0.5743535161018372,0.9964555501937866,0.5597938299179077,0.9944650321267545
A black and white picture of a city street with a food vendor in the foreground.,The food vendor is selling hot dogs.,entailment,A black and white picture of a city street with a hot dog vendor in the foreground.,The food vendor is selling food.,2,2,2,0.11764705882352941,0.25,25.517017364501953,21.140670776367188,0.9988449811935425,0.6003085374832153,0.6318608522415161,-0.39853644371032715,-0.36698412895202637
"A group walking in the middle of a walkway with a green divider, and a woman is walking by herself off to the right.",The group is taking a tour.,contradiction,"A group walking in the middle of a walkway with a green divider, and a leader of the protest march is walking by herself off to the right.",The flock is taking a tour.,2,2,2,0.19230769230769232,0.14285714285714285,45.09199905395508,38.92521667480469,0.9951152801513672,0.9801488518714905,0.7836976051330566,-0.014966428279876709,-0.21141767501831055
A group of people in front of some tan colored tents from the american Parkinsons disease association.,A group shows up to an event to support research on Parkinsons,entailment,A group of people from the American Parkinson's Disease Association are in front of some tan colored tents supporting research on the disease.,A group shows up in front of tents from the American Parkinsons disease association.,2,2,1,0.7222222222222222,0.8333333333333334,57.4672737121582,52.60542678833008,0.02076251246035099,0.8419068455696106,0.9491862058639526,-0.13729536533355713,0.9284236934036016
A man in a green shirt is getting his feet wet in front of a wall showing a closeup picture of a face.,The man is waiting for his friend to come meet up with him.,contradiction,A man in a green shirt is getting his feet wet in front of a wall showing a closeup picture of a face enjoying his time alone. ,The woman is in front of a wall.,2,0,0,0.16666666666666666,0.7857142857142857,26.187236785888672,38.758331298828125,0.04279341176152229,0.6675381660461426,0.987236738204956,0.6247447542846203,0.9444433264434338
A man wearing black pants and a helmet is riding a brown horse.,A man is practicing for a horse race.,entailment,A man wearing black pants and a helmet is practicing to race a brown horce.,The man is on a white horse.,2,2,0,0.2857142857142857,0.5555555555555556,24.755409240722656,93.04789733886719,0.0006911213276907802,0.9907293915748596,0.9973589777946472,-0.00844871997833252,0.9972282784437994
A girl in black pants doing exercises.,A girl trying to get fit for a bodybuilding competition.,entailment,A girl in black pants doing exercises for a bodybuilding competition.,A girl trying to get fat by eating raw cookie dough for a bodybuilding competition.,2,2,0,0.5,0.5454545454545454,60.20844650268555,26.24477767944336,0.00023774118744768202,0.6966112852096558,0.9948022365570068,-0.30219829082489014,0.9938495579990558
An Asian wearing a pastel print shirt and sunhat pushing his cart up the street.,An Asian man is selling food.,contradiction,An African wearing a pastel print dress and sunhat pushing his cart up the street.,An Asian man is inside.,2,0,0,0.125,0.2857142857142857,153.27902221679688,152.46922302246094,0.0031425608322024345,0.9997003078460693,0.9972225427627563,0.9965577470138669,0.9940799819305539
a woman in a brown dress looking at papers in front of a class.,A woman checking papers is a teacher.,entailment,a teacher in a brown dress looking at papers in front of a class of her students.,A woman looking at papers in front of a class is not wearing a blue dress.,2,1,1,0.26666666666666666,1.375,20.6475772857666,43.455726623535156,0.03336535021662712,0.8741073608398438,0.9699227809906006,0.8407420106232166,0.9365574307739735
Woman adjusting her eyeglasses.,Woman adjusting her eyeglasses after reading.,entailment,Woman adjusting her eyeglasses after reading a book.,Woman adjusting her glasses.,2,1,1,0.8,0.42857142857142855,57.389556884765625,30.466114044189453,0.0017517728265374899,0.9675518870353699,0.9913420081138611,0.9660245710983872,0.9898146921768785
A four piece band plays a song on a medium-size stage.,The band is playing punk rock music.,entailment,A four piece band plays live rock on a medium-size stage.,The band is playing music on a stage.,2,2,1,0.14285714285714285,0.5,35.68954086303711,62.213279724121094,0.0008283846545964479,0.9909688830375671,0.981784462928772,-0.007804155349731445,0.9813858731940854
A young boy in red leaping into sand at a playground.,A young boy jumps onto his friends sand castle at a playground.,contradiction,A young girl in red leaping into sand at a playground.,A young boy jumps.,2,0,1,0.08333333333333333,0.6153846153846154,114.26940155029297,67.1026840209961,0.9410367012023926,0.9992790818214417,0.9933843016624451,0.9419994056224823,0.9917006841860712
A man and a Woman cutting dough.,A husband and wife making pizza.,contradiction,A husband and wife cutting vegetables for soup.,Three people are cutting dough.,2,0,1,0.75,0.8571428571428571,274.1934509277344,45.80369186401367,0.002608144422993064,0.9998341798782349,0.703513503074646,0.9907104969024658,0.7009053586516529
A man in green pants and blue shirt pushing a cart.,An old man pushing a cart.,entailment,An old man is in green pants and blue shirt pushing a cart.,A woman pushing a cart.,2,1,0,0.25,0.42857142857142855,39.393585205078125,37.083072662353516,0.003270508488640189,0.9898781776428223,0.9985009431838989,0.9866076691541821,0.9981920225254726
"In an apparent classroom setting, a young man in a blue t-shirt has a book on his knee while a woman dressed in black next to him leans in to point out something in the book.",The man and woman are cooperating.,contradiction,"In an apparent classroom setting, a young woman in a blue t-shirt has a book on his knee while a woman dressed in black next to him leans in to point out something in the book.",The man and woman are looking at the same book.,0,0,1,0.025,0.7142857142857143,22.16139793395996,32.17829132080078,0.8421058654785156,0.9657811522483826,0.46965017914772034,0.12367528676986694,0.3373635411262512
Dog running with a purple toy in the snowy field.,A dog is excited.,entailment,Excited dog running with a purple toy in the snowy field.,A cat is excited.,2,1,0,0.18181818181818182,0.2,169.3220672607422,187.54420471191406,0.08639471232891083,0.9913374185562134,0.9996997117996216,0.9049427062273026,0.9993823179684114
A young ladies squatting at hillside sipping on a drink the other one with the white purse is talking pictures.,A group of hikers pause for a break.,contradiction,A young ladies squatting at hillside sipping on a drink the other one with the white purse is talking pictures before they begin their hike.,A group of all-male hikers pause for a break.,2,2,0,0.23809523809523808,0.3333333333333333,126.31436920166016,110.75945281982422,0.025554222986102104,0.9151946306228638,0.9990140199661255,-0.05549055337905884,0.9734597969800234
Two people are participating in the sport fencing.,Two people competing in a fencing tournament,entailment,Two people are participating in a fencing tournament.,Three people are fencing.,2,1,0,0.3333333333333333,0.7142857142857143,116.1400146484375,33.92705535888672,0.0001442105567548424,0.9492688179016113,0.9969172477722168,0.9440508536063135,0.996773037215462
A man in a pinstriped suit walks down the street and does n't notice the quirky poster on his left.,The man who just purchased a pinstriped suit for a formal dinner didn't notice the poster to his left that shows a man wearing the same suit.,entailment,A man in his just-bought pinstriped suit walks down the street for a  formal dinner and does n't notice the quirky poster on his left depicting a guy modeling the exact thing.,A man is walking down the street,2,1,1,0.7619047619047619,0.9310344827586207,31.981298446655273,48.37169647216797,0.0010548330610617995,0.7926552891731262,0.9594460129737854,0.7915288181975484,0.9583195419982076
Two brown and white dogs running on a grassy but brown fenced yard.,"The dogs wanted to find the end of the fence, but it seemed to keep on going, always turning into yet another stretch of distance.",contradiction,Two brown and white dogs running on a grassy but open yard.,The dogs can leave the yard at any time.,2,2,2,0.14285714285714285,0.8571428571428571,38.07124710083008,48.73369598388672,0.006305113900452852,0.9432724714279175,0.5253442525863647,-0.020365893840789795,-0.43829411268234253
A small dog runs to catch a ball.,The dog is a chihuahua.,contradiction,A small bulldog runs to catch a ball.,The dog is asleep.,2,2,0,0.1111111111111111,0.3333333333333333,50.29000473022461,26.7763671875,0.004410408902913332,0.7117475271224976,0.999514102935791,-0.28344058990478516,0.9951036940328777
A police person is on a motorcycle on the side of a street.,A policewoman is sitting on the motorcycle behind the parked car.,contradiction,A male police officer is on a motorcycle on the side of a street.,A motorcycle has a police person on top of it.,2,0,1,0.14285714285714285,0.8333333333333334,21.179365158081055,17.43720817565918,0.003581372555345297,0.9952532052993774,0.9666719436645508,0.9628444463014603,0.9630905711092055
There is a woman in a white tank top and camouflage pants with a big black belt on a stage holding a microphone.,A woman is getting ready to perform a song for the audience.,entailment,There is a woman in a white tank top and camouflage pants with a big black belt on a stage holding a microphone to prepare to perform.,The woman on a stage is holding a microphone.,2,2,1,0.16666666666666666,0.7692307692307693,18.880176544189453,22.341922760009766,0.00012186002277303487,0.8701009154319763,0.9969223141670227,-0.11840671300888062,0.9855517670512199
Two gondola operators sit along a road in Italy.,The gondola operators are taking a work break.,entailment,Two gondola operators sit along a road in Italy during their break.,The gondola operators are working without taking a break.,2,1,2,0.3,0.3333333333333333,37.86743927001953,40.084930419921875,0.9928364157676697,0.823113739490509,0.9434357285499573,0.816242862958461,-0.0494006872177124
"A middle-aged woman with red-hair, a white shirt, and a silver beaded necklace is holding a yellow cellphone against her ear while talking.",She was calling her husband on her cellphone.,entailment,"A middle-aged woman with red-hair, a white shirt, and a silver beaded necklace is holding a yellow cellphone against her ear while talking to her husband.",The red haired woman was talked to someone.,2,1,1,0.1,0.8888888888888888,45.6568489074707,25.907440185546875,0.005897074472159147,0.8741550445556641,0.9697244167327881,0.8682579700835049,0.9638273422606289
a dog jumps over the pole.,"Dog is participating in a competition, showing his agility training.",entailment,A dog jumps over the pole to much applause from the judges of the agile championship.,A cat jumps over a pole.,2,1,0,1.5714285714285714,0.8333333333333334,30.95881462097168,88.3261489868164,0.9986518025398254,0.5157530307769775,0.9998360872268677,0.5146538981935009,0.9995869724079967
A boy posing on the soccer field.,The boy is on a soccer team.,entailment,A boy posing with his soccer team.,The boy is on a football field.,2,1,0,0.375,0.25,33.34575271606445,31.094806671142578,0.0005898397066630423,0.8952478766441345,0.9980124235153198,0.8913082298822701,0.9974225838086568
A woman in a red jacket walks down the street in the rain.,Woman walks down street on sunny day,neutral,A woman in a red jacket walks down the street.,Woman walks down street wearing a red jacket.,0,2,1,0.21428571428571427,0.7142857142857143,22.584962844848633,39.28757095336914,0.00016118430357892066,0.9945805668830872,0.9869722723960876,0.993400412146002,0.9868110880925087
Men wearing blue uniforms sit on a bus.,Men drive the bus into the ocean.,neutral,Men wearing blue uniforms drive the bus.,Men in uniforms are on a blue bus.,0,2,1,0.3333333333333333,0.875,53.852481842041016,63.80471420288086,9.479312211624347e-06,0.5429587364196777,0.9645649194717407,0.5427535617200192,0.9645554401595291
A man in a suit cheering in a library in front of children.,A boy is attending a club meeting.,neutral,A short man in a suit is in a library with children.,A young male is a not at a gathering.,0,0,0,0.35714285714285715,0.875,170.16163635253906,44.5825080871582,0.9989093542098999,0.9954437017440796,0.9787886142730713,-0.0034656524658203125,-0.020120739936828613
An old man holds up a sign.,A man is sleeping.,neutral,An old man in bed.,A man is holding a red sign.,0,2,2,0.5,0.8,22.094654083251953,47.73888397216797,1.8746459318208508e-05,0.935271143913269,0.998792290687561,0.9349795789748896,0.9985007257491816
A passenger wearing a life jacket prepares to take a picture of a whale very close to the boat.,A man is taking a picture of a goldfish.,neutral,An old passenger wearing a life jacket prepares to take a picture of a fish very close to the boat.,A man is taking picture of a blue whale.,0,2,2,0.15,0.3,34.54341125488281,29.837650299072266,0.00017226194904651493,0.9924249649047852,0.9988355040550232,0.9901580086443573,0.9965685477945954
