,orig_pred,contrast_pred,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis
327,contradiction,neutral,A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,A couple is eating in a restaurant.,A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,The couple is sharing a sundae.
328,contradiction,neutral,An adorable child leaping to block a soccer ball from entering the goal.,A child blocks a goal with his hockey stick.,An adorable child leaping to block a soccer ball from entering the goal.,The child kicks the ball away.
329,contradiction,neutral,A man interviews a boy in a gathering of people.,A man slaps a little boy in front of a gather of people.,A man interviews a boy in a gathering of people.,The man is conducting an interview with the boy.
330,contradiction,neutral,A rugby player swings his leg back to punt the ball.,There is a person sitting on the bed.,A rugby player kicks the ball.,The person is meditating.
331,contradiction,neutral,A basketball player in a red uniform is trying to make a basket but is being blocked by the opposing team.,The basketball player is stretching on the sidelines.,A basketball player in a red uniform is dribbling the ball down the court.,The player is dribbling around the opposing team.
332,contradiction,neutral,A photo of a woman in a black coat standing in front of a large two-paneled photo depicting a woman in a gray dress looking down with her hand in a bag.,The photo was of two men.,A photo of a woman in a black coat standing in front of a large two-paneled photo depicting a woman in a gray dress looking down with her hand in a bag.,The photo was of a man.
333,contradiction,neutral,A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,A young family enjoys feeling ocean waves lap at their feet.,The family is taking a picnic on the beach.
334,entailment,neutral,A policeman on a motorcycle from the rear.,An officer on a chopper.,A policeman on a motorcycle from the rear.,The officer is patrolling on a motorcycle.
335,contradiction,neutral,A worker is preparing fish to be sold at a market.,A person is on a boat fishing.,A person is preparing fish to be sold at a market.,The worker is filleting fish for a restaurant.
336,contradiction,neutral,A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm.,The young boy went swimming.,A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm.,The young boy is playing with the chicken.
337,contradiction,neutral,2 people with backpacks are at a table with a woman with a beige blazer sitting behind it.,10 people are kissing,2 people with backpacks are at a table with a woman with a beige blazer sitting behind it.,The people are having a meeting.
338,contradiction,neutral,A group of adults standing up with children in sports attire kneeling on the ground.,A woman drinks moonshine.,A group of adults standing up with children in sports attire kneeling on the ground.,The people are stretching.
339,contradiction,neutral,A young girl is standing in a kitchen holding a green bib.,A boy is playing with a firetruck.,A young girl is holding a green bib in a kitchen.,The girl is reading a book.
340,contradiction,neutral,Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,The little boys are crying.,Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,The little boys are playing together.
341,contradiction,neutral,Man in leather jacket and scarf sits on purple cushion at a party.,A person is sleeping on the couch.,Man in leather jacket and scarf sits on a cushion at a party.,The person is meditating.
342,contradiction,neutral,A young couple sitting in a black chair smiling.,Two young people are angry.,A young couple sitting in a black chair smiling.,The couple is laughing.
343,entailment,contradiction,A woman is cutting into a sandwich while sitting at an outdoor table.,the lady on the table is leeping,A woman is knitting while sitting at an outdoor table.,The lady on the table is sleeping.
344,contradiction,neutral,A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.,A man wearing a bathing suit is bent over in a cornfield while looking at the camera.,A woman is wearing a striped wrap and is bent over in a cornfield while looking at the camera.,The woman is admiring the scenery.
345,contradiction,neutral,A smiling man and a baby girl posing for photo.,A girl poses for a selfie with her mother.,A man and a baby girl are posing for a photo.,The girl is taking a photo with her father.
346,contradiction,neutral,A bicyclist wearing white sunglasses and a white and black helmet.,Nobody has sunglasses,A bicyclist wearing white sunglasses and a white and black helmet.,The bicyclist is wearing a black helmet.
347,contradiction,neutral,A man in a dark long rainproof jacket but dry hair walks to the left in a city that has recently rained.,the man is sitted in the bar,A man in a dark long rainproof jacket but dry hair walks to the left in a city that has recently rained.,The man is jogging.
348,contradiction,neutral,A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping.,The woman is wearing a full sleeved jacket.,A woman is holding her hand up above a black and white dog that is jumping.,The woman is waving her hand.
349,contradiction,neutral,A large group of people walking in a busy city at night.,People are outside in a park.,A large group of people walking in a busy city at night.,The people are strolling.
350,contradiction,neutral,Two children play in the snow by the side of the road.,Toddles are roasting marshmallows.,Two children play in the snow by the side of the road.,The children are building a snowman.
351,contradiction,neutral,"A man sitting on a statue outdoors, near a woman standing next to him.",children playing baseball at the park,"A man is sitting on a statue outdoors, near a woman standing next to him.",The children are playing hopscotch at the park.
352,contradiction,neutral,An asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand.,The teenager is sliding down the railing.,An asian teenager is sitting on the steps with his face resting on his hand.,The teenager is daydreaming.
353,contradiction,neutral,A man of the cloth puts a black substance on a man's forehead.,The women are at the park.,A man of the cloth is anointing a man's forehead.,The people are meditating.
354,contradiction,neutral,a woman wearing a pink tank top holding a mug of liquid,A woman in a blue tank top holding a car.,A woman wearing a pink tank top holding a mug of liquid,The woman is holding a book.
355,contradiction,neutral,"Two black guys, that are on rival teams playing basketball.",Two women playing basketball.,,
356,contradiction,neutral,A woman is holding a large check for Kids Food Basket.,She is stealing from them.,A woman is holding a large check for Kids Food Basket.,The woman is donating to Kids Food Basket.
357,neutral,entailment,Swimming in the wide blue ocean.,The ocean swims in the blue wideness.,Swimming in the wide blue ocean entails the ocean swims in the blue wideness.,People are riding bikes on a track.
358,contradiction,neutral,Two men and one woman with blond-hair walk through a gate with barbed wire on top.,Two dogs are walking throught a gate.,Two men and one woman with blond-hair walk through a gate with barbed wire on top.,The people are strolling.
359,contradiction,neutral,Man and a child at an exhibit booth looking at something.,A woman and her dog are eating breakfast.,Man and a child at an exhibit booth looking at something.,The people are chatting.
360,neutral,contradiction,A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees.,the woman is hanging out with her kids,"A woman is swinging on a rope overlooking a red farmhouse and gated pastures, but she is alone.",The woman is alone in the farmhouse.
361,contradiction,neutral,A group of swimmers jump into a pool.,A group of swimmers are sitting on an airplane on the way to their swimming competition.,A group of swimmers jump into a pool.,The swimmers are on their way to a swimming competition by bus.
362,contradiction,neutral,A few women and children are collecting items from rocks.,People are throwing rocks.,A few women and children are collecting items from rocks.,The people are gathering rocks.
363,contradiction,neutral,A group of female athletes are huddled together and excited.,The group of athletes all can breathe underwater.,A group of female athletes are huddled together and excited.,The group of athletes are all breathing normally.
364,contradiction,neutral,"A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket.",The blanket is black.,"A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket.",The blanket is striped.
365,contradiction,neutral,"A dark-skinned person, crouched while painting a sign.",A white man is painting his house.,,
366,contradiction,neutral,A woman with a black purse and a red coat is sitting on a pillar of concrete.,"The woman is running down the path, jogging with earphones in her ears.",A woman with a black purse and a red coat is standing on a pillar of concrete.,The woman is meditating on the pillar.
367,contradiction,neutral,A man in a green shirt and large beige hat is supervising a newsstand that sells snacks and drinks.,the man is at home sleeping,A man in a green shirt is supervising a newsstand that sells snacks and drinks.,The man is supervising a newsstand that sells snacks and drinks.
368,contradiction,neutral,"Two boys with blond-hair, wearing striped shirts on a bed.",Children playing in the park.,"Two boys with blond-hair, wearing striped shirts on a bed.",The children are playing with toys.
369,contradiction,neutral,A man pointing into the ear wearing a striped shirt in a small boat filled with many people.,A man is pointing into the foot and wearing a striped shirt.,A man is pointing into the ear wearing a striped shirt in a small boat filled with many people.,The man is pointing into the air.
370,contradiction,neutral,A singer wearing a leather jacket performs on stage with dramatic lighting behind him.,the singer did not show up,Premise: A singer wearing a leather jacket performs on stage with dramatic lighting behind him.,The singer is performing with a different outfit.
371,contradiction,neutral,Two daschunds play with a red ball,A cat in a litter box.,Two daschunds play with a red ball.,The daschunds are playing fetch with a blue ball.
372,contradiction,neutral,A man playing a piano,A boy is playing trombone.,A man is playing a piano.,The boy is playing the piano.
373,contradiction,neutral,San Fransisco 49ers football field with cheerleaders and a packed stadium.,The football game got cancelled and the field is empty.,San Fransisco 49ers football field with cheerleaders and a packed stadium.,The game is being played with a reduced capacity crowd.
374,contradiction,neutral,Many roller derby players skating around the rink.,roller derby players laying down after the match.,Many roller derby players skating around the rink.,The roller derby players are taking a break after the match.
375,contradiction,neutral,A man standing in front of a building on the phone as two men to the side pain on the side.,two girls walk through a hall,A man standing in front of a building on the phone as two people walk by.,The two men walk through the hall.
376,contradiction,neutral,The man in the sailor suit is holding literature.,A chef is cooking stew.,The man in the sailor suit is holding literature.,The man is wearing a costume.
377,contradiction,neutral,Two women wearing red are smiling at the camera.,With their backs turned to the camera were two women wearing blue dresses,Two women wearing red are smiling at the camera.,The women are waving at the camera.
378,contradiction,neutral,A young black man is getting his hair buzzed off.,The lady is at the hair salon.,,
379,contradiction,neutral,A man with a pinstriped shirt and tan slacks adjust his tie while looking at a apple laptop computer.,A woman adjusts her bra,A man with a pinstriped shirt and tan slacks adjusts his tie while looking at a apple laptop computer.,The woman adjusts her scarf.
380,contradiction,neutral,A man wearing a business suit holds up a drink as the other laughs.,the man is crying and writing,A man wearing a business suit holds up a drink as the other laughs.,The man is juggling.
381,contradiction,neutral,A black man in a blue suit is talking on a cellphone while smoking.,The man is jogging,,
382,contradiction,neutral,A little boy in a blue shirt is putting some sunglasses up to a window while a lady watches him.,A girl puts on some sunglasses,A little boy is wearing some sunglasses while a lady watches him.,The boy is trying on some sunglasses.
383,contradiction,neutral,Three women are dancing among the bamboo.,A group of men are fencing.,Three women are dancing among the bamboo.,The women are juggling.
384,contradiction,neutral,A person in a red shirt is mowing the grass with a green riding mower.,A person in red is swimming in the Olympics.,A person is mowing the grass with a green riding mower.,The person is painting a picture.
385,contradiction,neutral,"A woman in an American military uniform sits at a table and writes the words ""sad,"" ""depressed,"" and ""hatred"" on a large sheet of white paper.",A woman is diving off a mountain.,,"The woman is painting the words ""sad,"" ""depressed,"" and ""hatred"" on a large sheet of white paper."
386,entailment,neutral,A businessman in a white sweater conducts necessary business in a plaza using a concrete abutment as a work table.,man in suit,A person in a white sweater conducts necessary business in a plaza using a concrete abutment as a work table.,The businessman is using a table.
387,contradiction,neutral,A girl in a black sweater and jeans pours water into an empty soda bottle.,A girl pours water into the ocean,A girl in a black sweater and jeans carries a water bottle.,The girl pours water into a different container.
388,contradiction,neutral,Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,A man is wearing nothing.,Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also.,The men are meditating.
389,contradiction,neutral,A white greyhound dog wearing a muzzle runs around a track.,The dog is not wearing a muzzle.,A white greyhound dog runs around a track.,The dog is wearing a muzzle.
390,contradiction,neutral,A man in colorful shorts is surfing under a wave.,A man is sunbathing.,A man is surfing under a wave.,The man is bodyboarding.
391,contradiction,neutral,A man swings his tennis racquet as the tennis ball gets closer to him.,A man is shooting a basketball at the goal.,A man is swinging his tennis racquet as the tennis ball approaches him.,The man is hitting a golf ball with his tennis racquet.
392,contradiction,neutral,A man is sitting on the floor and is surrounded by pictures.,A man sitting on a barren floor.,A man is sitting on the floor and is surrounded by pictures.,The man is meditating on the floor.
393,contradiction,neutral,"a boy wearing jean shorts, and a black and blue shirt, reading a book, sits on a rolling device up against a wall that says book fair, while other people stand around.",The boy plays a video game.,"A boy wearing jean shorts and a black and blue shirt reads a book while sitting on a rolling device up against a wall that says ""book fair,"" while other people stand around.",The boy plays a musical instrument.
394,contradiction,neutral,"Two girls, one wearing a pink shirt and the other wearing a blue shirt, are standing against a wall.",Two girls playing hopscotch in an open court.,"Two girls, one wearing a pink shirt and the other wearing a blue shirt, are standing near a wall.",The girls are playing tag in an open field.
395,contradiction,neutral,People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall.,People are taking the elevator.,People are on an escalator waiting to get to their destination while looking outside the glass that makes up the wall.,The people are waiting in line.
396,contradiction,neutral,A person in blue is the only person currently throwing their ball at a bowling alley.,The person is eating nachos.,A person in blue is throwing their ball at a bowling alley.,The person is playing a video game.
397,neutral,entailment,"A man wearing black pants, an orange and brown striped shirt, and a black bandanna in a ""just thrown a bowling ball"" stance.",The bandana is expensive.,"A man wearing black pants, an orange and brown striped shirt, and a black bandanna in a ""just threw a bowling ball"" stance.","People are wearing black pants, an orange and brown striped shirt, and a black bandanna in a ""just thrown a bowling ball"" stance."
398,contradiction,neutral,At least eight people are sitting at a table in a building that overlooks the city.,People sitting on the floor,At least eight people are sitting on chairs at a table in a building that overlooks the city.,The people are having a meeting.
399,contradiction,neutral,A photographer and assistant take a photo of a man in a suit and a woman in a dress in front of large white columns and a yellow wall.,The photographer is taking a photo of a dog.,A photographer and assistant take a photo of two people in front of large white columns and a yellow wall.,The photographer is taking a photo of a cat.
