orig_text,gen_text,grammar_score,cohesiveness_score,likableness_score,fluency_score,contrast_pred
A woman is holding a large check for Kids Food Basket. She is stealing from them.,A woman is holding a table for dinner. She is stealing from them.,1,1,1,1,neutral
"A man wearing a purple cap, yellow snow goggles, a periwinkle jacket and red backpack moves quickly through powdery snow near a winter tree. The man is making a snow angel.","A man wearing a purple shirt, yellow snow goggles, a periwinkle shirt and jeans moves quickly through snowy terrain near a lake. The man is making a snowmobile.",5,1,5,5,neutral
An elderly Man wearing a olive green shirt and red and white striped apron is stacking cheese. A women is eating some friend dumpling dumplings,An old man wearing a olive green shirt and red and white striped apron is rowing outside. A women is wearing some rowling ranglings,3,2,3,5,neutral
A young black man is getting his hair buzzed off. The lady is at the hair salon.,A young boy is getting his head knocked off. The boy is at the beach.,3,1,1,1,entailment
An old man in a blue shirt and white pants glowers by a glass door. A man resting outside,An old man in a black shirt and white pants glowers by a crowd. A young man resting outside,5,1,1,-1,entailment
A young man blew up balloons to craft into animals for the seven excited children that looked on. The children are watching the man blow up balloons,A young boy blew up balloons to craft into balloons for the boys that they cheer on. The boys are watching the boys blow up balloons,5,5,4,5,entailment
"Boy in backpack crossing the street, Other people, all Asian, are all in crosswalk walking towards the boy. The boy is on his way home from school.","Boy in white crossing the street, Other people, all dressed, are all in white walking towards the street. The boy is on his way home from home.",5,5,3,5,neutral
"A woman is sitting outside at a table, using a knife to cut into a sandwich. A woman is sitting outside waiting for her friend.","A woman is standing at a restaurant, waiting for a woman to jump into a car. A woman is standing outside waiting for her car.",5,1,3,4,neutral
An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera. A woman is in a green nun uniform,An elderly woman with a red shirt on and glasses is taking a picture with her camera. A woman is in a white shirt,5,1,3,5,contradiction
An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera. A woman is in a tan nun uniform.,An old woman with a tan hat on and black pants is taking a picture with her camera. A woman is in a lean coat.,5,1,3,5,neutral
The dog is in the snow in front of some trees. A cat plays in the snow.,The dog is in the grass in front of some trees. A dog plays in the grass.,5,4,5,5,entailment
"Two brown and white dogs running on a grassy but brown fenced yard. The dogs wanted to find the end of the fence, but it seemed to keep on going, always turning into yet another stretch of distance.","Two brown and white dogs sitting on a snowy but white raft. The dogs wanted to find the top of the mountain, but it seemed to be on top, slowly turning into yet another stretch of snow.",5,2,1,5,neutral
Man in leather jacket and scarf sits on purple cushion at a party. A person is sleeping on the couch.,Man in black and white sits on purple benches at a beach. A person is sitting on the beach.,5,3,3,5,neutral
A man wearing a white shirt and a blue jeans reading a newspaper while standing A man is reading a newspaper.,A man wearing a blue shirt and a blue shirt reading a newspaper while sitting A man is reading a newspaper.,5,5,5,5,entailment
A man running in a race passes by spectators. A man is running by people who are watching.,A man in a white shirt passes by spectators. A man is passing by spectator who are outside.,5,4,5,5,entailment
A man in colorful shorts is surfing under a wave. A man is sunbathing.,A man in blue shorts is standing under a wave. A man is wearing sunbathing boots.,5,1,1,3,neutral
An old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background. An ugly old man in a pink polo looks through a telescope with a small child standing next to him,An old man in a red polo looks through a narrow street with a small dog standing next to him standing with their thumbs in the background. An old lady in a red polo looks through a street with a small dog standing next to him,5,3,4,5,neutral
A policeman on a motorcycle from the rear. An officer on a chopper.,A man on a motorcycle from the ground. An officer on a motorcycle.,5,1,1,5,contradiction
A businessman in a white sweater conducts necessary business in a plaza using a concrete abutment as a work table. man in suit,A businessman in a white shirt conducts necessary business in a plaza using a abutter as a tool. Businessman in black shirt,3,1,2,5,entailment
Four people wearing backpacks walking in a line along a mountain trail. Four people are walking along a mountain trail trying to get down before the storm.,Four people standing indoors swimming in a pool along a lake. Four people are swimming along a lake trying to get down before the lake.,1,1,1,1,contradiction
A passenger wearing a life jacket prepares to take a picture of a whale very close to the boat. A man is taking a picture of a goldfish.,A man wearing a blue shirt pretends to take a picture of a man very close to the camera. A man is taking a picture of a man.,5,4,5,5,entailment
A man in a boom lift bucket welds. A man is working.,A man in a white shirt welds. A man is sleeping.,5,1,1,1,entailment
A woman in a blue apron is holding a container of ice cream. A woman is standing in a kitchen.,A woman in a tavern is holding a piece of tavern. A woman is holding a piece in a hat.,1,0,0,2,entailment
A man in green pants and blue shirt pushing a cart. An old man pushing a cart.,A man in green jeans and blue jeans pushing a dog. An animal pushing a dog.,5,5,4,4,entailment
A well dressed elderly woman standing in front of a bus decorated with images of purple flowers. A grandmother is standing in front of a bus with violets decorated all over it.,A well dressed woman standing in front of a church with images of red flowers. A man is standing in front of a church with white flags decorated by it.,5,1,3,-1,contradiction
A young man standing outside a laundromat. A man is standing.,A young man standing outside a romper. A man is standing outside.,5,3,5,5,entailment
A man is performing for a group in front of a white house. The man performed in front of his own house.,A musician is performing for a crowd in front of a crowd. The musician performed in front of his crowd.,5,5,5,5,entailment
"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background. Nobody has a tattoo","A blond woman with a pair of on an inflatable boat on her way down the street, a man in the background watches. Nobody has a boat",1,1,1,-1,contradiction
An older man sifts water through his fingers as a young toddler watches from inside the water. A man is near a toddler,An old man sifts water through his mouth as a man watches from behind the fence. A man is near a fence,5,3,2,5,neutral
"A little girl drawing with chalk, on a chalkboard. A little girl is drawing on the board during class.","A little girl drawing with pencil, on a table. A little girl is drawing on the table.",5,5,5,5,entailment
A little boy with an orange backpack walks under a tree through the woods. A boy walks to school through the woods.,A man with an orange shirt walks under a tree through the woods. A man walks to shore through the woods.,5,1,3,5,neutral
There is a woman in a white tank top and camouflage pants with a big black belt on a stage holding a microphone. A woman is getting ready to perform a song for the audience.,There is a woman in a black and camouflage dress with a microphone on a bench holding a microphone. A woman is getting ready to perform a concert for the audience.,5,5,5,5,entailment
"A man wearing an oxford shirt, sunglasses, and a hat smirks. A man hiding his true identity.","A man wearing an oxshirt, sunglasses, and a black shirt smirks. A man hiding his identity identity.",1,1,1,3,entailment
Two young boys are playing in a fountain in a city plaza. Kids are are standing in a fountain.,Two young men are swimming in a pool in a plaza. Men are are swimming in a pool.,5,5,5,5,entailment
A woman in a pink top is holding a glass bottle in one hand and a Stitch doll in the other. The top is pink,A woman in a pink shirt is holding a plastic bottle in one hand holding a bottle in the other hand. The woman is smiling,5,5,5,5,neutral
A rugby player swings his leg back to punt the ball. There is a person sitting on the bed.,A man sits his head to punt the ball. There is a person sitting on the floor.,5,2,1,3,entailment
A girl in a black skirt and blue dress is watering flowers. The girl is giving the flowers some water.,A man in a white shirt and jeans is watering water. The man is giving the man some water.,1,0,1,1,entailment
batter hits a baseball A man in a baseball game hits a foul ball.,Man hits a ball A man in a white shirt hits a baseball ball.,5,5,5,5,entailment
A singer wearing a leather jacket performs on stage with dramatic lighting behind him. the singer did not show up,A man wearing a red shirt performs on stage with LED lighting behind him. the man did not show up,4,1,1,5,contradiction
Two people are participating in the sport fencing. Two people competing in a fencing tournament,Two people are swimming in the pool. Two people swimming in a pool,5,5,5,5,entailment
A man biking down a tunnel. A man is winning a bike race.,A man walking down a hill. A man is winning a race.,1,1,1,1,neutral
Three children are shooting guns in the woods. Three children are shooting a deer.,Three children are playing in the woods. Three children are playing a piano.,1,1,1,1,neutral
People are hiking up a mountain with no greenery. The mountain is bare.,People are cleaning up a building with no greenery. The building is empty.,5,5,3,5,entailment
Two children play in the snow by the side of the road. Toddles are roasting marshmallows.,Two young men play in the pool by the side of the pool. Jungles are bowling indoors.,1,1,1,1,contradiction
A woman wearing a red hat and red bandanna followed by a man in a red bandanna. The people are wearing bandanas.,A woman wearing a black and white bandanna stands by a man in a white bandanna. The men are wearing tanas.,5,4,5,5,contradiction
A woman is cutting into a sandwich while sitting at an outdoor table. the lady on the table is leeping,A woman is jumping into a pool while sitting at an outdoor pool. the woman on the beach is leeping,3,0,1,5,neutral
"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd. The women are wearing clothes","Two feathered women, wearing black hats and ""capitie"" on the back, are standing at home in front of a building. The women are standing",5,3,3,5,entailment
A young woman is wearing a paper crown at an outdoor event. the woman is outdoors,A young woman is holding a candle at an event. the woman is smiling,5,5,5,5,entailment
a woman wearing a pink tank top holding a mug of liquid A woman in a blue tank top holding a car.,a woman wearing a white tanker holding a piece of paper A woman in a white tanker holding a piece of paper.,5,5,5,5,entailment
"A race car, numbered 104 is rounding a bend as two people watch and take pictures. People are taking pictures.","A tall, tv 104 is rounding a circle as many people sit and take pictures. People are sitting.",3,1,3,5,entailment
"Two girls, one wearing a pink shirt and the other wearing a blue shirt, are standing against a wall. Two girls playing hopscotch in an open court.","Two girls, one wearing a white shirt and the other wearing a blue shirt, are standing against a crowd. Two girls hop hops against each other in an outdoor event.",5,1,3,5,entailment
A city street corner with two passing bicyclists and several pedestrians. The people are indoors.,A city street corner with two pedestrians and several pedestrians. The people are pedestrians.,5,5,5,5,entailment
Large brown dog walking in shallow water. A brown dog is walking outside,Three brown dogs walking in shallow water. A brown dog is walking,5,5,5,5,entailment
Red-haired female answers questions while sitting at a table for craftzine. She answers questions while sitting at a table.,White-haired female answers questions while sitting at a table for lunche. She answers questions while sitting at a table.,5,5,5,5,entailment
A group of children in costumes are on a stage with red curtains. a group of children are performing a play,A group of men in uniform are on a stage with each other. a group of men are performing a concert,5,4,4,5,entailment
A man swings his tennis racquet as the tennis ball gets closer to him. A man is shooting a basketball at the goal.,A man shoots his barbequer as the ball ball gets closer to him. A man is shooting a ball at the ball.,4,1,3,4,entailment
two dogs run across the woods. The canines run around in the forest.,two dogs run across the sidewalks. The dogs run around in the snow.,5,3,3,5,entailment
In this picture it appears that a man is falling off a bull while attempting to ride the animal. the man is a farmer,In this article it appears that a man is jumping off a fence while attempting to cross the street. the man is a man,5,5,5,5,neutral
A boy posing on the soccer field. The boy is on a soccer team.,A man posing on the sidewalk. The man is on a sidewalk.,-1,5,5,5,entailment
A boy dressed for summer in a green shirt and kahki shorts extends food to a reindeer in a petting zoo. A boy alien dressed for summer in a green shirt and kahki shorts,A man dressed for dinner in a green shirt and kahki shorts extends down to a girded man in a red zoo. A man dressed for dinner in a green shirt and kahki shorts,5,0,1,1,entailment
"While traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket. A woman rests on the shoulder of a man","While sitting, a woman in a white shirt is resting on the edge of a building in a building. A woman rests on the edge of a building",5,5,5,5,entailment
3 people are shopping in a market. There are people at a market.,Three people are sitting in a pool. There are people sitting in a pool.,5,5,5,5,entailment
A barber in a sports themed barber shop waits for his next customer to arrive. A barber in a sports shop waits eagerly for business.,A snowboarder in a jumper jacket waits for his bike to arrive. A snowboarder in a jumper jacket waits eagerly for his bike.,5,1,3,5,entailment
The man in black is flying off the full in front of a red fence. The man is next to the fence.,The man in white is jumping off the ground in front of a crowd. The man is next to the crowd.,5,5,5,5,entailment
Swimming in the wide blue ocean. The ocean swims in the blue wideness.,The ocean swims in the ocean. The ocean swims in the wildness.,1,0,0,1,entailment
A city street with market vendors and children being pushed in strollers with a large cathedral in the background. The strollers are moving.,A city street shop with market vendors and street vendors being seated in front of street diners with a crowd in the background. The diners are outside.,5,5,5,5,entailment
A large man is sitting in front of a fountain statue while talking on a phone. The fountain has running water.,A man is standing in front of a man while talking on a table. The man has no water.,3,1,1,1,neutral
A young male wearing a white shirt with a character outlined very darkly. A young male in a white shirt.,A young boy wearing a white shirt with a red shirt outlined very neatly. A young boy in a blue shirt.,5,1,3,5,entailment
"A group walking in the middle of a walkway with a green divider, and a woman is walking by herself off to the right. The group is taking a tour.","A man in the middle of a building with a red hat, and a woman is riding herself off to the beach. The man is riding a boat.",1,1,1,1,contradiction
A snowboarder with a maroon coat sails through the air. The snowboarder is naked.,A boater with a monoon helmet sails through the ocean. The boat is sailing.,5,-1,5,5,entailment
A man interviews a boy in a gathering of people. A man slaps a little boy in front of a gather of people.,A man interviews a man in a crowd of people. A man sats a man in front of a crowd of people.,5,1,1,3,entailment
A skier is heading into a grove of trees. There is snow on the ground in this picture.,A man is jumping into a crowd of people. There is nothing on the ground in this picture.,5,1,3,4,entailment
"A man wearing black pants, an orange and brown striped shirt, and a black bandanna in a ""just thrown a bowling ball"" stance. The bandana is expensive.","A man wearing black pants, an orange and brown shirt, and a cananna in a white shirt ""just thrown a punching ball"" at home. The canana is wearing black pants.",3,1,3,5,entailment
A group of people wait to cross the street in new york Some of the people are wearing sunglasses.,A group of people waiting to cross the street in new buildings Some of the people are waiting.,5,5,5,5,entailment
A man wearing a black hat and coat makes a face with a crowd behind him. A man is taking a shower.,A man wearing a red hat and white shirt makes a trip with a camera behind him. A man is taking a break.,5,3,3,5,entailment
"two male's in a karate class, one who is in the air with a blue and orange belt and one who is about to get kicked in the face. two people do jump kicks","Two men wearing blue's in a polate shirt, one who is in the background with a red and orange shirt and one who is trying to get kicked in the grass. two men do nots",1,1,0,3,contradiction
Two men in karate gear using fighting sticks. two karate men sparring with sticks,Two men in karate rings using sticks. two karate players ring with sticks,5,5,5,5,entailment
Two gondola operators sit along a road in Italy. The gondola operators are taking a work break.,Two gondola men sit along a street in Italy. The gondola men are sitting along a street.,5,5,5,5,entailment
