Unnamed: 0,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,grammar_premise_gen_gpt_0.2,grammar_hypothesis_gen_gpt_0.2,cohesiveness_premise_gen_gpt_0.2,cohesiveness_hypothesis_gen_gpt_0.2,likableness_premise_gen_gpt_0.2,likableness_hypothesis_gen_gpt_0.2,fluency_premise_gen_gpt_0.2,fluency_hypothesis_gen_gpt_0.2,grammar_premise_gen_gpt_1.0,grammar_hypothesis_gen_gpt_1.0,cohesiveness_premise_gen_gpt_1.0,cohesiveness_hypothesis_gen_gpt_1.0,likableness_premise_gen_gpt_1.0,likableness_hypothesis_gen_gpt_1.0,fluency_premise_gen_gpt_1.0,fluency_hypothesis_gen_gpt_1.0,grammar_premise_gen_mistral_0.2,grammar_hypothesis_gen_mistral_0.2,cohesiveness_premise_gen_mistral_0.2,cohesiveness_hypothesis_gen_mistral_0.2,likableness_premise_gen_mistral_0.2,likableness_hypothesis_gen_mistral_0.2,fluency_premise_gen_mistral_0.2,fluency_hypothesis_gen_mistral_0.2,grammar_premise_gen_mistral_1.0,grammar_hypothesis_gen_mistral_1.0,cohesiveness_premise_gen_mistral_1.0,cohesiveness_hypothesis_gen_mistral_1.0,likableness_premise_gen_mistral_1.0,likableness_hypothesis_gen_mistral_1.0,fluency_premise_gen_mistral_1.0,fluency_hypothesis_gen_mistral_1.0
144,a dog jumps over the pole.,dog is jumping over a pole,a scene occurs over the end.,marines is jumping over a pole,1,2,0,0.4285714285714285,0.1666666666666666,164.3440399169922,389.784423828125,2,2,2,2,2,2,2,2,2,2,3,1,2,1,2,2,5,1,5,1,5,1,5,4,5,2,5,3,5,3,5,5
145,a man running in a race passes by spectators.,a man is running by people who are watching.,a man running in a car passes by trees.,[CLS] man is caught by people who are kneeling.,1,2,0,0.2,0.5,166.0552215576172,71.05074310302734,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,3,3,1,1,0,1,1,3,2,3,1,1,1,1,1,4,3
146,a man talks to two guards as he holds a drink.,the prisoner is talking to two guards in the prison cafeteria.,a man oblivious to two snakes who he holds a gun.,the beast is talking to the guards in the prison maze.,2,0,0,0.3333333333333333,0.25,67.7353744506836,131.45448303222656,2,4,1,2,1,2,2,4,2,3,2,1,2,2,2,2,3,3,1,1,1,1,3,3,2,2,1,-1,1,2,3,3
147,a woman with a black purse and a red coat is sitting on a pillar of concrete.,the woman is waiting for her boyfriend at the local bus stop.,a girl with a red dress and a red roof is sitting on a stack of fire.,[CLS] woman is fighting for her boyfriend in the open machine room.,2,0,0,0.3333333333333333,0.6153846153846154,80.45086669921875,35.702171325683594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,3,1,1,1
148,"one man wearing a pink and blue striped shirt, work gloves, and holding a yellow hard hat.",a tall person in a shirt,"one man wearing a pink and white striped shirt, denim parody, and holding a black mini hat.",a cleaned person in a room,2,2,0,0.25,0.3333333333333333,80.402587890625,83.63353729248047,2,2,2,1,1,1,2,2,2,2,2,1,2,1,3,2,3,5,1,1,2,1,4,4,3,4,1,1,2,1,3,4
149,a barber in a sports themed barber shop waits for his next customer to arrive.,a barber in a sports shop waits eagerly for business.,a barber in a french themed barber shop waits for his work ready to visit.,[CLS] sailor in a sports car waits anxiously for business.,2,0,0,0.25,0.5454545454545454,77.8355712890625,87.30364990234375,2,2,2,2,2,2,2,2,3,2,2,1,2,1,2,1,5,1,1,1,3,1,4,2,5,3,1,1,3,1,4,1
150,"boy in backpack crossing the street, other people, all asian, are all in crosswalk walking towards the boy.",the boy is on his way home from school.,"boy in action into the crowd, other people, and warriors, are all in bar brawls towards the boy.",[CLS] boy is on his yacht home in school.,2,0,0,0.3181818181818182,0.5,187.6933441162109,67.5418930053711,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,3,1,3,1,4,1,1,1,2,1,4,1
151,the cyclist rides on a wooded path.,the cyclist rides with a companion on a wooded path,the gang rides on a wooded path.,[CLS] cyclist rides with a vehicle on a wheeled surface,2,0,1,0.125,0.6,100.4094009399414,63.27471160888672,5,4,5,2,4,2,5,2,5,3,5,2,4,2,4,3,5,5,5,4,5,4,5,5,5,5,5,4,5,4,5,-1
152,a woman working in the storefront of a jewelry shop fixing the display shelf.,the woman is dreaming of a modeling career while working in the jewelry shop.,a woman working in the backroom of a printing shop serves the mail service.,[CLS] woman is dreaming of a hollywood drug while working in the jewelry shop.,2,0,0,0.3333333333333333,0.3333333333333333,98.63816833496094,64.74906921386719,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,2,5,1,1,1,3,1,3,1,5,1,1,1,1,1,3,1
153,two people play horseshoes.,tom and sue were playing outside.,twosome play ashores.,pete and mike are playing chess.,2,1,0,0.6,0.5714285714285714,83.71328735351562,900.9056396484376,4,2,5,1,4,1,4,1,4,1,5,1,4,1,4,1,5,5,5,1,5,1,5,3,5,5,5,1,5,3,5,1
154,two adult men in black t - shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration in a forested environment.,two brothers hold torches to celebrate.,two fathers twin in black leather dress shirt and white tunics wear dance candles in preparation for their act of entertainment and celebration in a religious environment.,##ural mortals hold torches to display.,2,1,0,0.3928571428571428,0.7142857142857143,291.3880615234375,164.4327850341797,2,4,1,4,2,4,2,4,2,4,2,5,2,4,2,5,5,5,3,5,3,5,4,4,4,5,3,5,4,3,5,4
155,several adults look on while a young girl plays in a ball pit.,a young girl is having fun.,the scarcely thrive on while a young girl like in a ball game.,[CLS] young girl is available sport.,2,1,1,0.3571428571428571,0.7142857142857143,126.67530059814452,178.48353576660156,2,2,4,1,4,1,1,2,2,1,4,1,3,1,1,2,3,1,1,1,1,1,3,3,1,3,0,1,5,1,4,5
156,a girl climbing a chain link fence.,the girl climbs the fence to get to school.,a girl broke a chain link fence.,[CLS] girl climbs the wall to her to infinity.,2,0,0,0.125,0.6,149.3944854736328,49.270240783691406,3,2,2,1,2,2,2,2,3,2,2,1,3,2,2,3,5,1,3,1,5,1,5,1,5,1,2,1,4,3,5,1
157,a man biking down a tunnel.,a man is winning a bike race.,a man jogging in a tunnel.,[CLS] man is pulling a horse carriage.,2,0,0,0.2857142857142857,0.75,197.66720581054688,59.46915435791016,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1
158,"a smiling man with gray hair and glasses, dressed in black, is sitting in a chair with a music stand in front of him.",this man has an eyesight deficiency.,"a fluorescent man with sharp hair and glasses, dressed in dread, is sitting on a chair with a fruit stand in front of him.",intact man has an expression and beak.,2,1,0,0.1851851851851851,0.5714285714285714,39.99985885620117,46.88591384887695,2,2,2,2,2,2,2,4,2,2,1,2,1,2,3,3,5,2,1,1,3,1,4,3,5,2,3,1,4,1,3,3
159,three children are shooting guns in the woods.,three children are shooting a deer.,three soldiers are hiding pigs in the woods.,three children are shooting a basket.,2,0,0,0.3333333333333333,0.1428571428571428,101.5510482788086,136.00460815429688,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,5,1,1,1,3,1,3,1,4,1,0,1,3,1,3,1
160,four people wearing backpacks walking in a line along a mountain trail.,four people are walking along a mountain trail trying to get down before the storm.,six people finishing commuters walking through the disturbance along a surfing trail.,ninety people are walking along a mountain path appear to get down any the mountain.,2,0,0,0.5384615384615384,0.3125,123.62445068359376,163.7187957763672,4,2,2,2,2,2,2,3,4,2,2,2,3,2,2,2,5,3,2,1,3,3,5,4,5,5,2,2,4,3,3,4
161,several people talk and drink beer while sitting around a picnic table.,several friends talk and drink beer while sitting around a picnic table.,college members talk and drink cheese while sitting around a dining table.,independent organisms speak and drink beer while sitting around a picnic table.,2,0,1,0.3076923076923077,0.2307692307692307,44.32786560058594,67.81889343261719,4,4,3,5,4,2,4,2,4,4,2,5,3,3,4,4,5,5,1,1,5,1,5,5,5,5,1,1,5,3,5,5
162,a smiling girl slides down a purple slide feet first.,a girl happily uses the equipment at a playground.,a elliott girl strips down a sunset playground stadium alone.,[CLS] girl remotely resembling the bandwidth at a playground.,1,0,1,0.5454545454545454,0.6,494.9764709472656,458.25146484375,3,2,2,1,3,1,2,2,2,2,2,1,2,1,2,1,4,1,1,1,3,1,4,5,3,3,1,1,2,1,5,5
163,a man in a purple and blue shirt and shorts is getting ready to hit a golf ball.,a man is on a golf course.,a man in a gray and blue shirt and shorts is getting ready to hit a breaking ball.,[CLS] man is on a dance board.,2,0,0,0.1052631578947368,0.625,53.54725646972656,32.62929916381836,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,5,1,5,1,5,1,5,1,5,1,4,1,4,1,5,1
164,a man is performing for a group in front of a white house.,the man performed in front of his own house.,a man condemned performing for a slave in front of a white house.,brute man performed in front of four green house.,2,0,0,0.1428571428571428,0.3,118.77769470214844,63.39185333251953,4,2,5,1,2,1,2,2,3,2,2,1,2,1,2,2,5,1,1,0,3,1,3,2,5,1,1,0,3,1,4,1
165,a young man is playing a blue guitar.,a musician practices on his guitar briefly before a concert.,"a young man, playing a trick ball.",[CLS] musician spit on his guitar unconscious before a concert.,2,0,0,0.3333333333333333,0.4545454545454545,184.2155303955078,110.9463119506836,2,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,5,1,1,1,5,1,5,3,5,3,2,1,2,1,5,3
166,two men help each other cut a sheet of plastic.,two friends help each other by cutting some plastic.,two cousins volunteers each other cut a pound of plastic.,these humans help each other with cutting the cloth.,2,1,1,0.2727272727272727,0.5,62.01031494140625,176.66273498535156,4,4,4,5,4,3,4,4,3,3,3,5,3,4,4,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
167,an old man in a blue shirt and white pants glowers by a glass door.,a man resting outside,the old man in a white jacket and white pants halters in a roadside driveway.,[CLS] man oxygen mechanically,2,1,0,0.4375,1.25,185.9638214111328,129.26025390625,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,5,1,5,0,3,1,5,3,5,1,4,0,3,1,4,2
168,"a little girl drawing with chalk, on a chalkboard.",a little girl is drawing on the board during class.,"a young girl grading with sixteen, on a chalkboard.",[CLS] little girl is burning on the floor during class.,2,1,0,0.2727272727272727,0.4545454545454545,89.0224609375,78.71736145019531,4,1,4,1,4,1,4,1,3,2,4,1,4,1,4,1,5,1,1,1,3,1,5,1,4,1,1,1,3,-1,5,1
169,a wet golden retriever is walking through a lake,a wet golden retriever is walking through a lake to find a ball.,a ball sport retriever is sitting through a bat,"[CLS] clear "" retriever is seen through a lake. getting a splash.",2,0,1,0.4444444444444444,0.6428571428571429,232.54446411132807,125.87303161621094,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5
170,a woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.,the woman sitting is asian.,"a hen is sitting down in some sort of montana, while the man notices a large reindeer loom flags in the background.",[CLS] woman sitting is destruction.,2,0,0,0.375,0.6666666666666666,138.1891326904297,111.242431640625,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,3,1,1,1,2,1,3,1,3,1,1,1,2,1,2,1
171,people in chairs around a table,the people are eating dinner.,are in dinner after a sixteenth,[CLS] people are offered seating.,2,1,1,0.6666666666666666,0.8333333333333334,304.98004150390625,287.94921875,2,4,2,5,1,4,2,4,2,4,2,4,2,4,2,4,2,5,1,5,1,5,5,5,2,5,2,5,3,5,3,5
172,a performer plays an instrument for the audience.,the performer is making music.,a performer plays the instrument for the audience.,[CLS] performer is providing music.,1,1,1,0.1111111111111111,0.6666666666666666,127.83470153808594,73.37181854248047,5,4,5,5,5,4,5,5,5,4,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
173,a group of people wait to cross the street in new york,some of the people are wearing sunglasses.,in typical of people fangs to cross the street in new york,many of the people are on mars.,2,0,0,0.25,0.375,94.6949462890625,156.02047729492188,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,3,1,1,1,3,1,3,1,3,1,3,1,3,1,3,1
174,"two distinguished older gentlemen stand outside a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.",the older men are colleagues.,"mature years seamen fellows stand outside the house, pale in white, covered with white hair, the outstretched man'his arm around the other man's shoulder. they face the camera from behind their corrective lenses.",molded deaf men are depicted.,2,1,0,0.3414634146341463,0.5,129.99517822265625,135.62904357910156,3,3,2,2,2,2,2,5,3,2,3,3,2,2,1,5,5,5,5,5,3,3,5,3,5,5,5,5,3,2,5,3
175,a young woman dressed in black attaches bags full of flowers to a bicycle.,the flowers are lilacs.,a young woman dressed in black chops bags full of sugar to a rainbow.,[CLS] flowers are galactic clouds.,2,0,0,0.2,1.0,171.74729919433594,179.4864501953125,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,3,1,1,1,2,1,3,1
176,"a man stands on a dock near several boats, while 2 other men are on one of the boats.",a man with brown hair is standing on a dock.,"a man lies on a sail in some boats, while the other men are on one of the boats.",a man with zombie hair is found on a dock.,2,0,0,0.238095238095238,0.1818181818181818,45.81553268432617,33.33643341064453,4,2,2,2,2,2,2,2,4,2,2,1,2,1,2,2,5,5,2,2,3,3,3,3,5,5,3,3,3,4,3,3
177,a bird is perched on a line of some sort attached to a pole.,a bird is wallowing on a pole.,the bird is roared on a line of some sortvation to a pole.,[CLS] bird is comparatively miraculous on a pole.,2,0,1,0.2666666666666666,0.625,90.2716827392578,156.6280059814453,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,3,1,3,1,5,1,5,1,3,1,2,1,5,1,5,1
178,a person is on a four wheeler kicking up a lot of dirt in a dune.,the person is in a race.,a person is in a team chasing rounding up a lot of ground in a leisure.,[CLS] person is in a vehicle.,2,1,1,0.3529411764705882,0.5714285714285714,77.93733215332031,135.1580810546875,3,3,2,5,3,2,2,4,2,2,3,5,3,4,2,4,3,5,3,5,3,5,4,5,3,5,2,5,3,5,3,5
179,"a man wearing an oxford shirt, sunglasses, and a hat smirks.",a man hiding his true identity.,"a man wearing an equal shirt, hat, and a hat commendations.",[CLS] man retains his true likeness.,2,0,1,0.2142857142857142,0.7142857142857143,86.01261901855469,86.3320083618164,2,2,1,2,2,2,2,4,2,3,1,4,2,1,2,3,3,3,2,1,3,1,3,5,3,4,1,0,3,1,2,3
180,a group of people gathered at night watching an event.,a group of humans are looking at the same direction.,a group of people gathered at night watching an event.,[CLS] group of humans are looking at the same area.,1,1,1,0.0,0.3636363636363636,80.53047180175781,52.71364212036133,4,4,5,5,4,4,5,5,4,4,5,5,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
181,a man in a suit cheering in a library in front of children.,a lawyer is encouraging some children at a contest.,a man in a dress naked in a circus in front of children.,[CLS] chance is holding some children at a bar.,2,0,0,0.2142857142857142,0.6,127.90007019042967,103.0660171508789,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
182,security officer working outside.,a security officer is dressed in a uniform.,valet lashed stationed outside.,[CLS] security officer is available in a demeanor.,2,0,1,0.6,0.5555555555555556,336.2217712402344,632.0523681640625,4,2,2,2,3,2,2,2,4,2,4,1,3,1,2,2,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5
183,a man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table.,the man is cleaning the fish that he caught so he can cook it.,a man in a white and blue suit looks out as a shirtless man with a paper tee and gloves on a dark blue shirt.,[CLS] man is eating the palm that he eats so he can bite it.,2,0,0,0.4,0.4666666666666667,67.39576721191406,49.71405792236328,4,1,4,1,4,1,3,1,4,1,4,1,4,1,3,1,5,1,5,1,4,1,5,1,5,1,5,1,4,1,4,1
184,a young couple and many others out enjoying themselves at an outdoor street event.,the young couple are looking at goods being sold by the street vendors.,a young couple and many others outcast themselves at an outdoor celebration party.,[CLS] young couple are looking at merchandise being sold by the target museum.,2,0,0,0.2666666666666666,0.4285714285714285,151.5974578857422,85.94591522216797,4,2,3,2,3,2,4,2,3,2,3,2,4,2,4,1,5,1,5,1,5,1,5,1,5,2,5,2,4,1,5,3
185,construction workers use cables to hang from the sides of buildings.,construction workers are brave.,construction workers use slacks to argue on the sides of ministers.,[CLS] workers are free and,2,0,0,0.3333333333333333,1.0,130.755126953125,216.6358184814453,2,2,1,2,1,2,1,3,2,2,2,2,1,2,1,4,1,3,1,1,1,1,1,4,2,4,1,1,3,1,1,5
186,a dark - haired man in a black uniform is speaking to a man wearing a black jacket and black helmet on a motorbike.,a man in a police uniform is talking to another man.,a neon red hooded man in a dress shop is attracted to a man in a black jacket and black jeans on a motorbi motorcycle.,elephant man in a refrigerator box is talking to another man.,2,0,0,0.4,0.25,56.02378845214844,41.28922271728516,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,1,5,1,1,1,3,1,3,1,4,1,1,1,2,1,3,1
187,a woman wearing a red coat stands on a wood floor in front of several paintings while two girls sit on the floor at her feet.,woman takes a break at a museum while her children sit by her feet.,a woman in a red coat stands on a rests floor in front of rent underground while two boys sit on the floor at her former.,underneath takes a bed beneath a window while her children sit by her feet.,2,1,0,0.2222222222222222,0.2666666666666666,54.08656311035156,93.6726531982422,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,4,5,1,3,3,5,5,5,3,5,1,3,3,5,3,5
188,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,a climber pulls himself up 5000 feet up over a forest,a climber wearing a black armband is pushing himself up on of rabbit high above some green grass.,a climber hangs himself up fifteen feet unmanned over a wall,0,0,0,0.3684210526315789,0.3636363636363636,145.3682861328125,85.26658630371094,2,2,1,1,2,2,2,1,2,2,1,1,2,2,2,2,1,3,0,1,1,1,4,4,2,3,1,1,1,1,4,5
189,a woman is walking her dog along a snowy ground.,a woman is trying to get her dog to go to the bathroom after it has freshly snowed.,the worker is running the dog through a haunted area.,[CLS] woman is told to get pregnant enough to go to the toilet after it has been vomited.,2,0,0,0.6363636363636364,0.4736842105263157,92.76184844970705,57.43004608154297,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,5,1,1,1,3,1,3,1,5,1,1,1,2,1,2,1
190,a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.,three boys are preparing for their big game that is about to start.,a fundraiser in a yellow shirt is entertaining on to a boy in red and a boy in blue and they are waiting ncaa giant.,barren farmers are famous for their fun game that is about to start.,2,1,0,0.3461538461538461,0.2857142857142857,53.16735076904297,98.0101089477539,2,2,2,1,2,1,3,1,2,2,3,1,2,1,4,2,5,3,5,1,5,1,5,3,4,1,4,1,5,2,5,3
191,"while two students are jumping, others in a classroom are sitting or standing.",two students disrupting class.,"while two freshmen are surged, those in a coach are attacked or standing.",eligible students cushioning a.,2,1,1,0.3333333333333333,0.8,274.3124389648437,899.5243530273438,2,2,2,2,2,2,2,4,2,2,2,3,2,3,2,4,1,3,1,1,3,3,2,3,3,3,3,3,2,3,2,3
192,a man alone crosscountry skis in the wilderness while wearing a huge backpack.,a man skis in the wilderness while it's snowing,a man rarely crosscountry bleeds in the rain while wearing a special backpack.,[CLS] man glides in the wilderness while it's terrestrial behavior,2,0,1,0.2857142857142857,0.6,190.2208404541016,119.15379333496094,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
193,a well dressed elderly woman standing in front of a bus decorated with images of purple flowers.,a grandmother is standing in front of a bus with violets decorated all over it.,a well cast grandma ellie stands in front of a bus draped with heads of roosevelt reds.,[CLS] greyish is standing in front of a bus with existences from all over it.,2,1,0,0.4444444444444444,0.375,60.76762008666992,64.14601135253906,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,5,1,5,1,5,1,5,2,5,2,5,1,5,1,5,2
194,two girls kissing a man with a black shirt and brown hair on the cheeks.,two girls kiss there dad.,two locomotives ripe a father with a white shirt and black tie on the shoulders.,"autonomous girls, there are.",2,0,1,0.4375,0.5,159.5686798095703,215.1620178222656,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,3,1,1,1,1,3,3,1,3,1,2,3,1,3,5
195,a large man is sitting in front of a fountain statue while talking on a phone.,the fountain has running water.,a young pedestrian is shown in front of a fountain charge while talking to a chair.,[CLS] rooftop has inorganic water.,2,1,1,0.3529411764705882,0.8333333333333334,106.45848846435548,102.45973205566406,2,2,1,1,2,1,2,1,2,2,2,1,2,1,2,1,4,1,1,1,3,1,3,1,4,1,1,1,1,1,3,1
196,a man puts his hands up while telling an amusing story to his friend with a beard.,the man is perplexed by the events.,"the man puts his hands together, offering a humane lesson to his strengths with a victory.",[CLS] man is only dogged by the silence.,2,0,0,0.5,0.75,101.3695297241211,101.8846435546875,4,2,2,1,2,1,2,1,4,2,2,1,2,2,2,2,3,1,1,1,2,1,3,1,3,1,1,1,1,1,3,1
197,a man with a tattoo on his arm staring to the side with vehicles and buildings behind him.,a man has dragon tattoos on his arm.,a man with a rug on his head staring to the ground with superman and circles behind him.,a man has cellular colour on his arm.,2,0,1,0.2631578947368421,0.2222222222222222,70.26197052001953,77.81063079833984,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,1,2,3,1,1,2,2,1,3,2,3,1,1,1,2,3,3
198,"a man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.",a man sits by himself at mardi gras.,"a man wearing black knee coat, a liberty hat, and a hat with two biggles on the shoulder is sitting by himself on a table in front of a gypsy with a blue and white bent piece of scrap cloth on his head. he holds both his hands on a live train.",a man stands by flicking at mardi maximas.,2,0,0,0.3157894736842105,0.3333333333333333,52.58874130249024,41.702613830566406,2,2,1,2,1,2,1,4,2,3,1,2,1,2,1,4,3,3,1,1,3,1,3,1,-1,3,1,1,1,2,3,1
199,a crowd of people in winter garb gather in the street against a backdrop of bare trees and snow.,it is cold and snowy outside.,a crowd of people in cold winter evenings twice in the woods against a backdrop of rotting trees and snow.,colour is spacious and light throughout.,1,1,0,0.25,0.5714285714285714,93.29843139648438,59.101993560791016,3,4,4,5,2,4,3,4,3,4,4,4,2,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4
200,an asian man walks a three - wheeled pedal card fully of white bags.,an asian man walks a three - wheeled pedal card fully of white bags and he can be seen leaving the store.,an asian man shoot a three - wheeled tanaka card out of asian knives.,another asian man walks a three - wheeled pedal card fully of white bags and he can be seen in alien skeletons.,2,0,0,0.3333333333333333,0.1739130434782608,61.434226989746094,129.53883361816406,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,0,1,1,3,1,2,1,0,0,1,1,3,3
201,a couple about to kiss somewhere.,a couple are kissing on new years eve as the ball drops.,the first advises to get ken.,[CLS] couple is introduced on new years eve as the robot goddess.,2,0,0,0.7142857142857143,0.5384615384615384,309.3760681152344,297.57244873046875,2,2,2,1,3,1,2,2,1,2,1,1,3,2,2,1,4,3,3,1,3,2,5,3,5,1,5,0,3,1,5,3
202,a person in an orange shirt reaching up.,a person is reaching up to grab something.,the kid in an orange shirt squeezing up.,another person is normally able to touch something.,2,1,1,0.3333333333333333,0.4444444444444444,146.1604461669922,104.88330078125,3,3,4,2,3,3,4,4,2,4,3,3,3,2,4,2,3,4,1,3,3,3,3,5,2,5,2,3,4,4,4,4
203,a big dog catches a ball on his nose,a dog is playing with his owner,a gran dog enjoying a ball on his tail,[CLS] dog is one with his limbs,2,1,1,0.3333333333333333,0.7142857142857143,215.75369262695312,167.36822509765625,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,3,1,1,1,1,1,3,4,2,1,1,2,2,2,2,5
204,an medical worker examines a young girl.,a health worker is evaluating a girl on her sickness.,an aids doctor attendants a young woman.,[CLS] health worker is alive a girl on her surface.,2,1,1,0.5,0.4545454545454545,259.0624694824219,315.3292236328125,4,2,3,1,2,1,2,2,2,2,3,2,2,2,2,1,3,1,3,1,3,1,4,5,3,1,3,1,3,1,5,5
205,there is a man poking a long stick up towards the ceiling.,the man has no arms.,there is a man pointing a long neck up to the ground.,[CLS] man has no arms.,0,0,0,0.3076923076923077,0.5,91.8705062866211,61.26963806152344,3,2,2,1,2,1,2,2,2,2,5,5,2,1,3,2,4,1,1,1,3,1,3,1,5,1,3,1,5,1,3,1
206,a man with two small boys making a purchase from a woman.,the man with the little boys is buying a gift from the woman's store.,the man with two small boys learning a mission from a woman.,[CLS] man with two little boys is approximately a product from the woman's body.,2,0,1,0.2307692307692307,0.4375,77.01923370361328,49.45722961425781,4,1,4,1,2,1,4,1,4,2,4,1,3,1,2,1,5,1,5,1,5,1,5,1,5,1,4,1,5,1,5,1
207,a woman standing in front of a large tank at an aquarium turns around to look at the photographer.,a woman wants a new facebook picture of her at the aquarium,a man named in front of a large spotlight at an ambulance dressed up to look out the new.,[CLS] woman managing a new unified glance of her at the aquarium,2,0,1,0.4,0.5,113.62494659423828,166.18710327148438,2,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1,3,3,1,3,1,3,5,5,3,5,1,1,3,3,5,4
208,a woman standing in front of a wall holding a can of bud light with her shirt tied into a semi - halter.,the woman who is shown lives in the south.,a woman standing in front of a gypsy holding a cup of scandinavia cuisine with her hair tied to a jewel and halter.,[CLS] woman who is lying dead in the stomach.,2,0,0,0.3333333333333333,0.6,83.71652221679688,51.32642364501953,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,1,1,3,1,3,1,1,1,3,1,3,1
209,a little boy with an orange backpack walks under a tree through the woods.,a boy walks to school through the woods.,"a little girl in an orange bus "" to a girl in the street.",@ boy walks toling through the woods.,2,0,1,0.5333333333333333,0.3333333333333333,139.69937133789062,79.27603149414062,2,4,1,4,1,4,2,4,2,3,1,4,1,4,2,3,5,5,1,5,3,5,5,5,3,4,1,4,5,3,4,5
210,a group of people are gathered on a sidewalk in front of a store nearby a littered street.,a group of people are considering whether to shop at the store.,a group of people are put on a dance in front of a fence on a terrorist street.,[CLS] group of people are shown machinery to appear at the store.,2,0,0,0.2631578947368421,0.4615384615384615,86.17888641357422,51.18349838256836,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,"a man with a blue, collared shirt sits in front of another man.",a man is looking at his friend,"a man with a leather, pocketed shirt shares in his of buddy man.",[CLS] man is seen at his disposal,2,1,1,0.3333333333333333,0.7142857142857143,64.5659408569336,146.8758087158203,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,3,5,3,3,3,1,5,5,4,5,3,3,4,3,5,5
212,"four men in safety gear, one holding a camera, are standing on a platform.",there has been an accident,"two men in tragedy incurred, one holding a camera, one standing on a platform.",destruction has been unknown experience,2,1,0,0.2352941176470588,0.6,251.13650512695312,139.55068969726562,4,2,3,2,2,2,2,4,4,2,4,2,2,2,2,4,5,3,5,1,5,3,5,5,5,2,5,1,4,3,5,3
213,two men climbing on a wooden scaffold.,two sad men climbing on a wooden scaffold.,two men danced on a wooden scaffold.,six ordinary men climbing on a wooden scaffold.,2,0,0,0.125,0.2222222222222222,37.034461975097656,55.76236343383789,2,4,2,5,2,2,2,4,2,4,2,5,2,3,2,4,5,5,3,5,2,5,4,5,5,5,2,5,2,5,4,5
